"Company","SFR","Payload (kg)","Launch Cost ($M)","Price ($/kg)","Funding ($M)","Launch Class","Orbit Altitude","Tech Type","Country","HQ Location","Description"
"Airstar Aerospace","9","2,700","0.000","0","-","Small, Medium","Suborbital","Balloon","France","Le Champ-près-Froges","Balloons that lift anything from a few kilograms to several tons and are able to operate at an altitude as low as a few hundred metres or as high as 40 km"
"Arianespace/Avio","9","20,000","170.000","8,500","Public","Medium, Heavy","LEO","Rocket","Italy","Colleferro, RM","Vega & Ariane launch vehicles"
"Blue Origin","9","45,000","0.000","0","-","Small, Heavy","LEO","Rocket","USA","Kent, WA","Lowering the cost of access to space with reusable launch vehicles"
"Mitsubishi Heavy Industries","9","19,000","112.500","5,921","Public","Medium","LEO","Rocket","Japan","Tokyo, Tokyo","Launch vehicle manufacturer and launch services provider"
"Northrop Grumman","9","8,000","80.000","10,000","Public","Small, Medium","LEO","Rocket","USA","Falls Church, VA","Designs, manufactures, and operates launch vehicles, propulsion systems, and satellites and related components"
"Rocket Lab","9","225","4.900","21,778","257.31","Small","LEO","Rocket","USA","Huntington Beach, CA","The first rocket company and launch site for cubesat payloads in New Zealand"
"SpaceX","9","63,800","90.000","1,411","3884","Heavy, Super Heavy","LEO","Rocket","USA","Hawthorne, CA","SpaceX designs, manufactures, and launches advanced rockets and spacecraft"
"Swedish Space Corp","9","2,000","0.000","0","-","Small","Suborbital","Balloon, Rocket","Sweden","Solna","SSC designs sounding rocket vehicles, stratospheric balloon systems, and payloads"
"United Launch Alliance","9","17,800","99.000","5,562","Joint Venture","Medium, Heavy","LEO","Rocket","USA","Centennial, CO","A joint venture between Lockheed Martin and Boeing, ULA produces the Vulcan, Atlas and Delta Launch Vehicle Families"
"UP Aerospace","9","36","0.000","0","0.72","Small","Suborbital","Rocket","USA","Highlands Ranch, CO","UP Aerospace is a suborbital space launch and flight test service provider"
"World View","9","4,500","0.000","0","48.68","Small, Medium","Suborbital","Balloon","USA","Tucson, AZ","The Stratollite is a remotely operated, navigable vehicle that can remain aloft for days, weeks, and months on end"
"Sierra Nevada","8","5,000","0.000","0","-","Medium","LEO","Spaceplane","USA","Sparks, NV","Dream Chaser space plane for space station resupply missions"
"The Spaceship Company/Virgin Galactic","8","372","1.500","4,032","Joint Venture","Small","Suborbital","Spaceplane","USA","Mojave, CA","Building a fleet of WhiteKnightTwo carrier aircraft and SpaceShipTwo reusable spaceships"
"Virgin Orbit/VOX Space","8","500","12.000","24,000","-","Small","LEO","Plane, Rocket","USA","Long Beach, CA","The small payload orbital launch sister company to Virgin Galactic"
"Firefly Aerospace","7","1,000","15.000","15,000","23.16","Small","LEO","Rocket","USA","Cedar Park, TX","Developing the Firefly Alpha launch vehicle; highest payload performance with the lowest cost per kg to orbit in its vehicle class"
"iSpace","7","1,900","0.000","0","92.92","Small","LEO","Rocket","China","Beijing","iSpace is a Chinese private space launch company developing the Hyperbola rocket"
"Relativity Space","7","1,250","10.000","8,000","184.54","Small","LEO","Rocket","USA","Los Angeles, CA","Designing an orbital-class launch vehicle that's autonomously constructed"
"Strato","7","0","0.000","0","-","Small","Suborbital","Balloon","Ukraine","Kiev","Launching sratospheric balloons for research and promotional purposes"
"Zero 2 Infinity","7","100","4.000","40,000","13.83","Small","LEO","Balloon, Rocket","Spain","Barcelona, Catalonia","Balloon-launched rockets for low-cost LEO payloads"
"Astra Space","6","204","2.500","12,255","100.00","Small","LEO","Rocket","USA","Alameda, CA","Providing routine launch access to Earth orbit for entrepreneurs and enterprises"
"Exos Aerospace","6","100","0.000","0","9.09","Small","Suborbital","Rocket","USA","Caddo Mills, TX","Selling reusable launch vehicles for small, sub-orbital scientific/experimental payloads"
"Landspace","6","4,000","0.000","0","186.30","Small, Medium","LEO","Rocket","China","Beijing","Commercial launch vehicle manufacturer and space launch provider in China"
"One Space","6","200","3.200","16,000","116","Small","LEO","Rocket","China","Beijing","Building a private 3-stage nanosatellite launch vehicle in China"
"PLD Space","6","300","0.000","0","18.94","Small","LEO","Rocket","Spain","Elche, Alicante","A Euro startup developing tech for suborbital & orbital launch services, dedicated to small payloads and nanosatellites"
"Sea Launch/S7","6","6,160","0.000","0","-","Medium","GTO","Rocket","Russia","-","Integrated launch services for the Zenit Launch Vehicle via a mobile sea platform"
"Interstellar Technologies","5","100","0.440","4,400","0.35","Small","Suborbital","Rocket","Japan","Hokkaido","Privately developing rocket engines and suborbital launch vehicles in Japan"
"Launcher","5","773","10.000","12,937","-","Small","LEO","Rocket","USA","New York, NY","A team on a 10-year journey to deliver small satellites to orbit."
"LinkSpace","5","200","4.500","22,500","-","Small","LEO","Rocket","China","Beijing","Developing reusable launch vehicle technology for orbital payloads in China"
"Maritime Launch Services","5","5,000","45.000","9,000","-","Medium","LEO","Rocket","Canada","Halifax, Nova Scotia","Building up Canada's NewSpace industry as the first private launch provider in Canso, Nova Scotia."
"OHB/COSMOS International","5","500","0.000","0","Joint Venture","Small","LEO","Rocket","Germany","Bremen","Developing a small launcher for low cost delivery to LEO"
"Orbex","5","220","0.000","0","39.53","Small","LEO","Rocket","United Kingdom","London, England","Launch services for small, micro and nano satellites"
"PD Aerospace","5","6,000","0.000","0","6.75","Medium","Suborbital","Spaceplane","Japan","Nagoya, Aichi","Developing a fully-reusable suborbital spacecraft"
"Perigee Aerospace","5","63","2.000","31,746","12.00","Small","LEO","Rocket","South Korea","Daejeon","Developing Blue Whale 1, a micro launch vehicle"
"Reaction Engines","5","17,000","0.000","860","95.37","Medium","LEO","Spaceplane","United Kingdom","Abingdon, England","Developing the re-usable Skylon spaceplane powered by SABRE propulsion"
"Starchaser","5","186","0.000","0","-","Small","Suborbital","Rocket","United Kingdom","Hyde, England","Building a reusable three-person rocket ship for space tourism"
"Sugarhouse Aerospace","5","50","0.250","5,000","-","Small","Suborbital","Rocket","USA","Springville, UT","Sugarhouse Aerospace is built on a simple idea - space shouldn't be reserved for governments and billionaires"
"ABL Space Systems","5","1,200","12.000","10,000","-","Small","LEO","Rocket","USA","El Segundo, CA","Building rockets to launch small satellites"
"CosmoCourse","4","434","1.500","0","-","Small","Suborbital","Rocket","Russia","Moscow","Creating a reusable suborbital space complex for tourist flights into space"
"Dawn Aerospace","4","0","0.000","0","4.54","-","LEO","Spaceplane","Netherlands","Delft","New class of vehicles will provide responsive, low cost hypersonic, suborbital and orbital access"
"Earth to Sky","4","600","4.500","7,500","5.25","Small","LEO","Rocket","USA","Huntsville, AL","Providing launch services to LEO at an affordable cost"
"Galactic Energy","4","4,000","0.000","14,400","43.00","Small, Medium","LEO","Rocket","China","-","Developing the Ceres-1 and Pallas-1 launch vehicles"
"Gilmour Space Technologies","4","400","0.000","25,000","17.62","Small","LEO","Rocket","Australia","Pimpama, Queensland","Developing the ERIS launch vehicles to provide reliable and cost-effective access to space"
"Green Launch","4","5","0.000","0","0.50","Small","LEO","Other","USA","Edmond, OK","Green Launch is a technology created to revolutionize and expand our access to space"
"Isar Aerospace Technologies","4","1,000","0.000","0","18.99","Small","LEO","Rocket","Germany","Munich","Accelerating the New Space Age through cutting-edge propulsion systems"
"Leaf Space","4","0","2.270","0","1.59","Small","LEO","Rocket","Italy","Lomazzo, Como","Leaf Space wants to simplify access to Space for Nano, Micro and Small satellites operator"
"Pipeline2Space (by HyperSciences)","4","10","1.000","100,000","-","Small","LEO","Other","USA","Spokane, WA","Using RAM-accelerators to change the economics of space launch"
